award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_address_line_3,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,award_description,business_funds_indicator_code,business_types_code,action_type_code,record_type_code,fiscal_year_and_quarter_correction,last_modified_date
NNX09AE80A,24,,SAI EXEMPT,274926.00,0.00,274926.0,0.00,,0.00,2013-05-20,2013-05-20,2014-01-06,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,18,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,18,,43.001,SCIENCE,05,"BUILDING ON THE RESULTS OF OUR PREVIOUS WORK, OUR INVOLVEMENT IN PLANETARY MISSIONS, AND DATA FROM OUR RESEARCH IN TERRESTRIAL ANALOGS, OUR NEW PROPO",NON,12,B,2,,2014-04-04 00:00:00
NNX12AJ33G,1,,SAI EXEMPT,131402.00,0.00,131402.0,0.00,,0.00,2013-04-18,2013-04-18,2016-05-15,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,18,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,18,,43.001,SCIENCE,04,INVESTIGATING THE ORIGIN OF LAYERED OUTCROPS IN THE MAWRTH VALLIS REGION OBJECTIVES: THE MAWRTH VALLIS REGION CONTAINS ONE OF THE LARGEST OUTCROPS OF,NON,12,B,2,,2014-04-04 00:00:00
NNX10AT01A,8,,SAI EXEMPT,39461.00,0.00,39461.0,0.00,,0.00,2013-02-28,2013-02-28,2013-08-31,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,18,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,18,,43.001,SCIENCE,05,THE OBJECTIVE OF THE PROPOSED RESEARCH IS THE IMPROVEMENT OF THE UNDERSTANDING OF GAS GIANT PLANET FORMATION THROUGH THE CORE-NUCLEATED ACCRETION MOD,NON,12,B,2,,2014-04-04 00:00:00
NNX12AM75G,1,,SAI EXEMPT,62601.00,0.00,62601.0,0.00,,0.00,2013-03-22,2013-03-22,2016-07-18,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,18,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,18,,43.001,SCIENCE,04,"A COMPOSITIONAL INTERPRETATION OF TNO TAXONOMY IN THE TRANS-NEPTUNIAN REGION, ICES ARE COMMON AND CLEARLY DETECTABLE IN THE LARGEST TRANS-NEPTUNIAN O",NON,12,B,2,,2014-04-04 00:00:00
NNX11AG11G,5,,SAI EXEMPT,78458.00,0.00,78458.0,0.00,,0.00,2013-04-03,2013-04-03,2014-03-31,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,18,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,18,,43.001,SCIENCE,04,OBSERVATIONS BY THE SPITZER SPACE TELESCOPE AND THE INFRARED SPACE OBSERVATORY SHOW THAT THE EMISSION BANDS FORMERLY REFERRED TO AS THE UNIDENTIFIED,NON,12,B,2,,2014-04-04 00:00:00
NNX08AZ37A,14,,SAI EXEMPT,27000.00,0.00,27000.0,0.00,,0.00,2011-03-18,2011-03-18,2011-08-31,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,05,"NASA'S LONG-TERM MISSION TO EXPLORE AND ULTIMATELY COLONIZE OUR SOLAR SYSTEM, ALONG WITH NASA'S FUNDAMENTAL COMMITMENT TO PROTECT THE HOME PLANET, BE",NON,12,B,2,,2011-04-20 00:00:00
NNX11AD62G,2,,SAI EXEMPT,120000.00,0.00,120000.0,0.00,,0.00,2013-02-08,2013-02-08,2014-02-10,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,189 BERNARDO AVE # 100,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,18,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,18,,43.001,SCIENCE,04,IT WAS ONLY WHEN THE FIRST IMAGES OF THE ASTEROID (243) IDA CAPTURED BY THE GALILEO SPACECRAFT REVEALED THE PRESENCE OF A SMALL SATELLITE NAMED DACTY,NON,12,B,2,,2015-05-05 00:00:00
NNX10AI34A,1,,SAI EXEMPT,85632.00,0.00,85632.0,0.00,,0.00,2011-05-13,2011-05-13,2013-03-31,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,05,"I PROPOSE TO STUDY THE OXIDATIVE STRESS RESPONSE OF CELLS TO KEY PLANETARY CONDITIONS THAT LIMIT THE PRESENCE OF LIFE: RADIATION, EXTREME TEMPERATURE",NON,12,B,2,,2011-06-20 00:00:00
NNX09AM93G,4,,SAI EXEMPT,31265.00,0.00,31265.0,0.00,,0.00,2011-06-02,2011-06-02,2013-06-21,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,04,"SEVERAL REMARKABLE DISCOVERIES MADE BY THE MARS PHOENIX MISSION SCIENCE TEAM HAVE RECENTLY BEEN DESCRIBED IN THE PRESS INCLUDING, AN ALKALINE SOIL PH",NON,12,B,2,,2011-07-06 00:00:00
NNX09AE80A,13,,SAI EXEMPT,100000.00,0.00,100000.0,0.00,,0.00,2011-07-12,2011-07-12,2012-01-06,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,137315552,SETI INSTITUTE,USA,UNITED STATES,515 N WHISMAN RD,,,49670,MOUNTAIN VIEW,085,SANTA CLARA,CA,CALIFORNIA,94043,0818,14,,,,USA,UNITED STATES,0649670,MOUNTAIN VIEW,085,SANTA CLARA,CA,940430818,14,,43.001,SCIENCE,05,"BUILDING ON THE RESULTS OF OUR PREVIOUS WORK, OUR INVOLVEMENT IN PLANETARY MISSIONS, AND DATA FROM OUR RESEARCH IN TERRESTRIAL ANALOGS, OUR NEW PROPO",NON,12,B,2,,2011-08-05 00:00:00
